year,event_time,post,occ_code,occ_title,tot_emp,a_mean,h_mean,wage_bill,log_wage,log_emp,log_wbill,annual_only,suppressed_wage,soc_remapped,balanced,dv_alpha,dv_beta,dv_gamma,human_alpha,human_beta,human_gamma,n_onet,prefix5,exposure_imputed,exposure_residual
2019,-3,0,11-1011,Chief Executives,205890.0,193850.0,93.2,39911776500.0,12.174839943099077,12.23509732457079,24.409937267669864,0,False,0,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2020,-2,0,11-1011,Chief Executives,202360.0,197840.0,95.12,40034902400.0,12.195213902195295,12.217803568405872,24.41301747060117,0,False,0,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2021,-1,0,11-1011,Chief Executives,200480.0,213020.0,102.41,42706249600.0,12.269141336997157,12.208469770129897,24.477611107127053,0,False,0,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2022,0,0,11-1011,Chief Executives,199240.0,246440.0,118.48,49100705600.0,12.414873835128509,12.20226540718722,24.617139242315726,0,False,0,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2023,1,1,11-1011,Chief Executives,211230.0,258900.0,124.47,54687447000.0,12.464197165739629,12.260702866181289,24.724900031920917,0,False,0,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2024,2,1,11-1011,Chief Executives,211850.0,262930.0,126.41,55701720500.0,12.479643116037304,12.263633756054706,24.74327687209201,0,False,0,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2019,-3,0,11-1021,General and Operations Managers,2400280.0,123030.0,59.15,295306448400.0,11.720183507054214,14.691095955179817,26.411279462234027,0,False,0,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2020,-2,0,11-1021,General and Operations Managers,2347420.0,125740.0,60.45,295164590800.0,11.741971561937053,14.668827410676618,26.41079897261367,0,False,0,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2021,-1,0,11-1021,General and Operations Managers,2984920.0,115250.0,55.41,344012030000.0,11.654858960858896,14.909083503779678,26.563942464638572,0,False,0,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2022,0,0,11-1021,General and Operations Managers,3376680.0,122860.0,59.07,414858904800.0,11.718800774717918,15.032403536216286,26.7512043109342,0,False,0,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2023,1,1,11-1021,General and Operations Managers,3507810.0,129330.0,62.18,453665067300.0,11.77012255640929,15.07050246909178,26.84062502550107,0,False,0,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2024,2,1,11-1021,General and Operations Managers,3584420.0,133120.0,64.0,477157990400.0,11.799006256055035,15.09210723371104,26.891113489766074,0,False,0,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2019,-3,0,11-1031,Legislators,52280.0,49440.0,,2584723200.0,10.808515092131572,10.864369167738158,21.67288425986973,1,False,0,1,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2020,-2,0,11-1031,Legislators,51290.0,53560.0,,2747092400.0,10.888557799805108,10.845251080383314,21.733808880188423,1,False,0,1,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2021,-1,0,11-1031,Legislators,44590.0,57110.0,,2546534900.0,10.952734511658909,10.705264897621522,21.657999409280432,1,False,0,1,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2022,0,0,11-1031,Legislators,42890.0,71100.0,,3049479000.0,11.171842615791332,10.666393977510928,21.83823659330226,1,False,0,1,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2023,1,1,11-1031,Legislators,32460.0,68140.0,,2211824400.0,11.129319691214958,10.387763841068582,21.51708353228354,1,False,0,1,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
2024,2,1,11-1031,Legislators,26510.0,67390.0,,1786508900.0,11.118251917940263,10.18527729928307,21.303529217223335,1,False,0,1,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,1.0,11-10,0,0
