occ_code,occ_title,match_status,imputed_from,dv_beta_imputed,exposure_residual
11-1011,Chief Executives,direct,,0.5078,0
11-1021,General and Operations Managers,direct,,0.4808,0
11-1031,Legislators,direct,,0.4,0
11-2011,Advertising and Promotions Managers,direct,,0.4767,0
11-2021,Marketing Managers,direct,,0.5,0
11-2022,Sales Managers,direct,,0.45,0
11-2032,Public Relations Managers,direct,,0.55,0
11-2033,Fundraising Managers,direct,,0.5625,0
11-3012,Administrative Services Managers,direct,,0.3913,0
11-3013,Facilities Managers,direct,,0.4002,0
11-3021,Computer and Information Systems Managers,direct,,0.5303,0
11-3031,Financial Managers,direct,,0.4851,0
11-3051,Industrial Production Managers,direct,,0.4057,0
11-3061,Purchasing Managers,direct,,0.5857,0
11-3071,"Transportation, Storage, and Distribution Managers",direct,,0.4865,0
11-3111,Compensation and Benefits Managers,direct,,0.5132,0
11-3121,Human Resources Managers,direct,,0.48,0
11-3131,Training and Development Managers,direct,,0.5,0
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",direct,,0.3673,0
11-9021,Construction Managers,direct,,0.4444,0
11-9031,"Education and Childcare Administrators, Preschool and Daycare",direct,,0.4688,0
11-9032,"Education Administrators, Kindergarten through Secondary",direct,,0.4182,0
11-9033,"Education Administrators, Postsecondary",direct,,0.439,0
11-9041,Architectural and Engineering Managers,direct,,0.4426,0
11-9051,Food Service Managers,direct,,0.4167,0
11-9071,Gambling Managers,direct,,0.5735,0
11-9072,"Entertainment and Recreation Managers, Except Gambling",direct,,0.3529,1
11-9081,Lodging Managers,direct,,0.4565,0
11-9111,Medical and Health Services Managers,direct,,0.4286,0
11-9121,Natural Sciences Managers,direct,,0.5307,0
11-9131,Postmasters and Mail Superintendents,direct,,0.5238,0
11-9141,"Property, Real Estate, and Community Association Managers",direct,,0.4432,0
11-9151,Social and Community Service Managers,direct,,0.3929,0
11-9161,Emergency Management Directors,direct,,0.4222,0
11-9171,Funeral Home Managers,direct,,0.4286,0
11-9179,"Personal Service Managers, All Other",direct,,0.4521,1
11-9199,"Managers, All Other",direct,,0.4913,1
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",direct,,0.5435,0
13-1031,"Claims Adjusters, Examiners, and Investigators",direct,,0.52,0
13-1032,"Insurance Appraisers, Auto Damage",direct,,0.5,0
13-1041,Compliance Officers,direct,,0.5263,0
13-1051,Cost Estimators,direct,,0.5,0
13-1071,Human Resources Specialists,direct,,0.6444,0
13-1074,Farm Labor Contractors,direct,,0.1429,0
13-1075,Labor Relations Specialists,direct,,0.5472,0
13-1081,Logisticians,direct,,0.5279,0
13-1082,Project Management Specialists,direct,,0.55,0
13-1111,Management Analysts,direct,,0.4048,0
13-1121,"Meeting, Convention, and Event Planners",direct,,0.4865,0
13-1131,Fundraisers,direct,,0.5192,0
13-1141,"Compensation, Benefits, and Job Analysis Specialists",direct,,0.4737,0
13-1151,Training and Development Specialists,direct,,0.5526,0
13-1161,Market Research Analysts and Marketing Specialists,direct,,0.5246,0
13-1199,"Business Operations Specialists, All Other",direct,,0.5828,1
13-2011,Accountants and Auditors,direct,,0.56,0
13-2031,Budget Analysts,direct,,0.52,0
13-2041,Credit Analysts,direct,,0.5556,0
13-2051,Financial and Investment Analysts,direct,,0.4615,0
13-2052,Personal Financial Advisors,direct,,0.5,0
13-2053,Insurance Underwriters,direct,,0.5714,0
13-2054,Financial Risk Specialists,direct,,0.5333,0
13-2061,Financial Examiners,direct,,0.5,0
13-2071,Credit Counselors,direct,,0.625,0
13-2072,Loan Officers,direct,,0.5909,0
13-2081,"Tax Examiners and Collectors, and Revenue Agents",direct,,0.5806,0
13-2082,Tax Preparers,direct,,0.625,0
13-2099,"Financial Specialists, All Other",direct,,0.5832,1
15-1211,Computer Systems Analysts,direct,,0.6174,0
15-1212,Information Security Analysts,direct,,0.6522,0
15-1221,Computer and Information Research Scientists,direct,,0.6346,0
15-1231,Computer Network Support Specialists,direct,,0.6346,0
15-1232,Computer User Support Specialists,direct,,0.6111,0
15-1241,Computer Network Architects,direct,,0.6352,0
15-1242,Database Administrators,direct,,0.9355,0
15-1243,Database Architects,direct,,0.9112,0
15-1244,Network and Computer Systems Administrators,direct,,0.7297,0
15-1251,Computer Programmers,direct,,0.95,0
15-1252,Software Developers,direct,,0.8684,0
15-1253,Software Quality Assurance Analysts and Testers,direct,,0.8772,0
15-1254,Web Developers,direct,,0.9327,0
15-1255,Web and Digital Interface Designers,direct,,0.75,0
15-1299,"Computer Occupations, All Other",direct,,0.7358,1
15-2011,Actuaries,direct,,0.5,0
