year,event_time,post,occ_code,occ_title,tot_emp,a_mean,h_mean,wage_bill,log_wage,log_emp,log_wbill,annual_only,suppressed_wage,soc_remapped,a_pct10,a_pct25,a_median,a_pct75,a_pct90,balanced,dv_alpha,dv_beta,dv_gamma,human_alpha,human_beta,human_gamma,n_onet,prefix5,exposure_imputed,exposure_residual
2019,-3,0,11-1011,Chief Executives,205890.0,193850.0,93.2,39911776500.0,12.174839943099077,12.23509732457079,24.409937267669864,0,False,0,62290,112790,184460,#,#,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2020,-2,0,11-1011,Chief Executives,202360.0,197840.0,95.12,40034902400.0,12.195213902195295,12.217803568405872,24.41301747060117,0,False,0,62780,114530,185950,#,#,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2021,-1,0,11-1011,Chief Executives,200480.0,213020.0,102.41,42706249600.0,12.269141336997157,12.208469770129897,24.477611107127053,0,False,0,60300,111080,179520,#,#,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2022,0,0,11-1011,Chief Executives,199240.0,246440.0,118.48,49100705600.0,12.414873835128509,12.20226540718722,24.617139242315726,0,False,0,74920,122480,189520,#,#,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2023,1,1,11-1011,Chief Executives,211230.0,258900.0,124.47,54687447000.0,12.464197165739629,12.260702866181289,24.72490003192092,0,False,0,80000,130840,206680,#,#,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2024,2,1,11-1011,Chief Executives,211850.0,262930.0,126.41,55701720500.0,12.479643116037304,12.263633756054706,24.74327687209201,0,False,0,73710,126080,206420,#,#,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2025,3,1,11-1011,Chief Executives,204350.0,269630.0,129.63,55098890500.0,12.50480592779397,12.227589488992423,24.732395416786392,0,False,0,75700,129540,213990,356200,507730,1,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,2.0,11-10,0,0
2019,-3,0,11-1021,General and Operations Managers,2400280.0,123030.0,59.15,295306448400.0,11.720183507054214,14.691095955179817,26.411279462234027,0,False,0,45050,65660,100780,157430,#,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2020,-2,0,11-1021,General and Operations Managers,2347420.0,125740.0,60.45,295164590800.0,11.741971561937053,14.668827410676618,26.41079897261367,0,False,0,45850,67450,103650,161190,#,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
2021,-1,0,11-1021,General and Operations Managers,2984920.0,115250.0,55.41,344012030000.0,11.654858960858896,14.909083503779678,26.56394246463857,0,False,0,43260,60690,97970,151750,#,1,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,1.0,11-10,0,0
