tau,coef,se,ci_low,ci_high,pval,sig
-7,0.013793084428460622,0.014114009193885247,-0.01387037359155446,0.0414565424484757,0.3293766862155376,
-6,0.011345383028669118,0.010967052374036466,-0.010150039624442357,0.03284080568178059,0.3018955890164585,
-5,0.010416455994415645,0.00751913243428403,-0.004321043576781054,0.025153955565612344,0.1671775272850089,
-4,0.0071339194718450984,0.0061233141552460724,-0.004867776272437204,0.019135615216127402,0.24510354320018046,
-3,0.004074280378445628,0.004945710167979595,-0.00561931155079438,0.013767872307685634,0.41083168258743497,
-2,0.001148340787445316,0.0019720694480048024,-0.0027169153306440966,0.005013596905534729,0.5608836163389799,
-1,0.0,0.0,0.0,0.0,,
0,-0.0015175565221131099,0.0017148489614547502,-0.004878660486564421,0.0018435474423382004,0.3770268989769694,
1,-0.0057422679428400245,0.004674187151889229,-0.014903674760542912,0.003419138874862864,0.22040306379621866,
2,-0.006785614692875464,0.006564976604853255,-0.019652968838387845,0.006081739452636917,0.30231019034063467,
3,-0.008797005409187516,0.009009677472733854,-0.02645597325574587,0.00886196243737084,0.32980504424630874,
4,-0.009787216819093133,0.010264076073746044,-0.029904805923635383,0.010330372285449115,0.3412298011685351,
5,-0.00925684971934601,0.010951311583060048,-0.030721420422143705,0.012207720983451683,0.3987601742159792,
6,-0.008419246684388948,0.012602522225194193,-0.033120190245769565,0.016281696876991672,0.5047064045570224,
7,-0.008836787347366674,0.014245116933415064,-0.0367572165368602,0.019083641842126853,0.5355958617966252,
8,-0.009187471532597866,0.01588097307795205,-0.04031417876538389,0.021939235700188152,0.5634293012291824,
9,-0.008563081338960676,0.017030085782473395,-0.04194204947260853,0.024815886794687176,0.6155294214358327,
10,-0.007380240972407625,0.017992779405124254,-0.04264608860645116,0.027885606661635913,0.6820239315821937,
11,-0.004581260454477437,0.01901390939239499,-0.041848522863571616,0.03268600195461674,0.8097955325884356,
12,-0.004607462360940472,0.01984189521542739,-0.04349757698317815,0.03428265226129721,0.8165643211872045,
13,-0.006954010774217748,0.022286517052909585,-0.05063558419792054,0.03672756264948504,0.7552774843265637,
14,-0.009698389677680419,0.023139977227376575,-0.05505274504333851,0.035655965687977666,0.6754866507866568,
