tau,coef,se,ci_low,ci_high,pval,sig
-7,0.014612331529864879,0.01723921501465239,-0.0191765298988538,0.04840119295858356,0.39752609428615715,
-6,0.010267798206041014,0.014137087977797625,-0.01744089423044233,0.03797649064252436,0.46838881046292014,
-5,0.006240009032460522,0.009538939806470277,-0.01245631298822122,0.024936331053142264,0.5136583594496353,
-4,0.0028153799355800893,0.008780211817649231,-0.014393835227012403,0.02002459509817258,0.7487650911201589,
-3,0.001101861536601697,0.007270604643774408,-0.013148523565196142,0.015352246638399535,0.8796739890537368,
-2,0.0013425122060476598,0.004422272276693272,-0.007325141456271154,0.010010165868366474,0.7617213501040951,
-1,0.0,0.0,0.0,0.0,,
0,-0.0025567000312251955,0.0017879779679011209,-0.0060611368483113924,0.0009477367858610015,0.15408554693035414,
1,-0.008930971058317555,0.005124164224287687,-0.01897433293792142,0.001112390821286311,0.0826795131208331,†
2,-0.01348820763295244,0.007658030474720367,-0.028497947363404358,0.001521532097499478,0.07950798812527138,†
3,-0.016825415038556904,0.011750728164659061,-0.03985684224128866,0.006206012164174855,0.15353512613139664,
4,-0.018440054640394086,0.013199027339234198,-0.04431014822529311,0.007430038944504943,0.16373105569482171,
5,-0.018847795884003312,0.01437975305948952,-0.04703211188060277,0.009336520112596145,0.19125477798816526,
6,-0.01828339525150562,0.016396264370793875,-0.050420073418261616,0.013853282915250374,0.265968380173635,
7,-0.01683411257005638,0.017312447404303155,-0.05076650948249056,0.0170982843423778,0.33188336252870787,
8,-0.014781706295488846,0.018222920265760834,-0.05049863001638008,0.020935217425402386,0.4181086981985267,
9,-0.013307889017669671,0.019852010406939232,-0.05221782941527056,0.025602051379931223,0.503301305183014,
10,-0.010090357737307945,0.020751550660899308,-0.05076339703267059,0.0305826815580547,0.6272537494334602,
11,-0.006880264631887849,0.02173750690934351,-0.049485778174201134,0.03572524891042543,0.7518968630748959,
12,-0.006206708368409333,0.022328259040362314,-0.04997009608751947,0.0375566793507008,0.7812798260349292,
13,-0.008170131912502732,0.024435249644747456,-0.05606322121620774,0.03972295739120228,0.7384124668798324,
14,-0.011435624470682807,0.024335468131952545,-0.05913314200930979,0.03626189306794418,0.6388583805748436,
