NAICS,Industry Title,AIIE
1133,Logging,-1.360
1151,Support Activities for Crop Production,-2.165
1152,Support Activities for Animal Production,-1.149
2111,Oil and Gas Extraction,0.669
2121,Coal Mining,-1.146
2122,Metal Ore Mining,-0.892
2123,Nonmetallic Mineral Mining and Quarrying,-1.038
2131,Support Activities for Mining,-0.981
2211,"Electric Power Generation, Transmission and Distribution",0.210
2212,Natural Gas Distribution,0.345
2213,"Water, Sewage and Other Systems",-0.156
2361,Residential Building Construction,-0.760
2362,Nonresidential Building Construction,-0.663
2371,Utility System Construction,-1.176
2372,Land Subdivision,0.581
2373,"Highway, Street, and Bridge Construction",-1.296
2379,Other Heavy and Civil Engineering Construction,-1.105
2381,"Foundation, Structure, and Building Exterior Contractors",-1.757
2382,Building Equipment Contractors,-0.832
2383,Building Finishing Contractors,-1.603
2389,Other Specialty Trade Contractors,-1.359
3111,Animal Food Manufacturing,-0.789
3112,Grain and Oilseed Milling,-0.721
3113,Sugar and Confectionery Product Manufacturing,-0.773
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.981
3115,Dairy Product Manufacturing,-0.844
3116,Animal Slaughtering and Processing,-1.663
3117,Seafood Product Preparation and Packaging,-1.258
3118,Bakeries and Tortilla Manufacturing,-0.802
3119,Other Food Manufacturing,-0.854
3121,Beverage Manufacturing,-0.659
3122,Tobacco Manufacturing,-0.884
3131,"Fiber, Yarn, and Thread Mills",-1.588
3132,Fabric Mills,-1.114
3133,Textile and Fabric Finishing and Fabric Coating Mills,-0.436
3141,Textile Furnishings Mills,-1.068
3149,Other Textile Product Mills,-0.562
3151,Apparel Knitting Mills,-1.272
3152,Cut and Sew Apparel Manufacturing,-0.652
3159,Apparel Accessories and Other Apparel Manufacturing,-0.792
3161,Leather and Hide Tanning and Finishing,-1.104
3162,Footwear Manufacturing,-0.530
3169,Other Leather and Allied Product Manufacturing,-0.680
3211,Sawmills and Wood Preservation,-1.421
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-1.135
3219,Other Wood Product Manufacturing,-1.146
3221,"Pulp, Paper, and Paperboard Mills",-0.950
3222,Converted Paper Product Manufacturing,-0.824
3231,Printing and Related Support Activities,-0.210
3241,Petroleum and Coal Products Manufacturing,-0.196
3250,Chemical Manufacturing (3255 and 3256 only),-0.120
3250,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",-0.308
3254,Pharmaceutical and Medicine Manufacturing,0.464
