tau,coef,se,ci_low,ci_high,pval,sig
-23,-0.010440963237873179,0.0255914828145613,-0.06060026955441332,0.039718343078666965,0.6834807163918319,
-22,-0.015885613065292205,0.027240344716831708,-0.06927668871028235,0.037505462579697946,0.5600783724443819,
-21,-0.018269316512690547,0.027632592932117863,-0.07242919865964156,0.03589056563426046,0.5088584004282208,
-20,-0.021034015449005666,0.02769961375044335,-0.07532525839987464,0.0332572275018633,0.44803940313387747,
-19,-0.025203206924928254,0.028791332986323488,-0.0816342195781223,0.031227805728265782,0.38184331167167906,
-18,-0.029619445883455303,0.030239059631781372,-0.0888880027617468,0.029649110994836185,0.327861706338602,
-17,-0.0325505821178323,0.030511751729260777,-0.09235361550718342,0.02725245127151882,0.2866323369857371,
-16,-0.03318367016483283,0.030476566191525466,-0.09291773990022274,0.026550399570557076,0.27682136918131595,
-15,-0.03433376209600237,0.03069187901077612,-0.09448984495712356,0.025822320765118825,0.2638902814962838,
-14,-0.03252128122484198,0.028898142127932167,-0.08916163979558903,0.02411907734590507,0.26103761285085136,
-13,-0.02947820952285643,0.025916642330720625,-0.08027482849106884,0.02131840944535599,0.2559745405644791,
-12,-0.025200732978858248,0.023218402450149632,-0.07070880178115152,0.02030733582343503,0.2783434182080504,
-11,-0.018354979426041865,0.019081479763027726,-0.055754679761576206,0.01904472090949248,0.33661013623226976,
-10,0.018366120288092258,0.031338520377611374,-0.04305737965202604,0.07978962022821055,0.558135839558545,
-9,0.008375481889335899,0.01756430898732137,-0.026050563725813984,0.042801527504485785,0.6337059265802352,
-8,0.008222831636920114,0.015211816894556144,-0.02159232947640993,0.03803799275025016,0.5890850374125982,
-7,0.01379308442846624,0.01397460815575526,-0.01359714755681407,0.04118331641374655,0.32417506525112727,
-6,0.011345383028668858,0.010858733152674849,-0.009937733950573848,0.032628500007911565,0.2966763044427423,
-5,0.010416455994415414,0.007444867577801262,-0.004175484458075059,0.02500839644690589,0.16246742691089455,
-4,0.007133919471845058,0.006062835496183318,-0.004749238100674245,0.01901707704436436,0.2399601321122642,
-3,0.004074280378445239,0.0048968624506340085,-0.005523570024797417,0.013672130781687896,0.40584573802804913,
-2,0.0011483407874452714,0.0019525917415245608,-0.002678739025942868,0.00497542060083341,0.5567567669693481,
-1,0.0,0.0,0.0,0.0,,
0,-0.0015175565221131429,0.0016979117664883028,-0.004845463584430216,0.0018103505402039307,0.37192477928884937,
1,-0.0057422679428400705,0.004628021209070425,-0.014813189512618103,0.0033286536269379625,0.21534927407189297,
2,-0.006785614692875845,0.006500135740613447,-0.0195258807444782,0.005954651358726511,0.2970909320656494,
3,-0.008797005409187526,0.008920690822968778,-0.02628155942220633,0.008687548603831278,0.32460394425379224,
4,-0.009787216819093407,0.010162699998353954,-0.029706108815867154,0.01013167517768034,0.33604522270332904,
5,-0.009256849719346266,0.010843147830110943,-0.030509419466363714,0.011995720027671181,0.39372878999588057,
6,-0.008419246684388978,0.012478049819294413,-0.032876224330206025,0.016037730961428073,0.50020195289429,
7,-0.008836787347366929,0.01410442097229386,-0.03648145245306289,0.018807877758329036,0.5312919299520107,
8,-0.009187471532598135,0.015724120116955998,-0.04000674696183189,0.02163180389663562,0.5593208796673546,
9,-0.008563081338960946,0.016861883282042103,-0.041612372571763465,0.024486209893841576,0.6118201264078602,
10,-0.007380240972408013,0.01781506858649972,-0.042297775401947464,0.02753729345713144,0.6788767491723049,
11,-0.004581260454477784,0.018826113092151726,-0.04148044211509517,0.0323179212061396,0.8078497133586655,
12,-0.004607462360940723,0.01964592107700173,-0.043113467671864115,0.03389854294998267,0.8146854303018958,
13,-0.006954010774218123,0.02206639790952491,-0.05020415067688695,0.036296129128450705,0.7528032033739311,
14,-0.009698389677680443,0.02291142864111068,-0.05460478981425737,0.03520801045889649,0.6722819320284974,
