tau,coef,se,ci_low,ci_high,pval,sig
-23,-0.02643605486096875,0.010510631469342918,-0.04703689254088087,-0.005835217181056632,0.012281738050115676,*
-22,-0.02273910551084953,0.009328843300400413,-0.04102363837963434,-0.004454572642064721,0.015216296661668238,*
-21,-0.021321710129729603,0.009144435751584126,-0.03924480420283449,-0.0033986160566247155,0.020205847387233744,*
-20,-0.020006077764742513,0.008567682943196675,-0.036798736333407994,-0.0032134191960770282,0.02002543834979087,*
-19,-0.017985627569233345,0.008538718981274994,-0.03472151677253234,-0.001249738365934356,0.03578466715216089,*
-18,-0.015222412922821033,0.00803194279781696,-0.030965020806542273,0.0005201949609002082,0.05876970405860393,†
-17,-0.012871731545951002,0.008000047244477707,-0.02855182414512731,0.002808361053225303,0.1084011098316573,
-16,-0.009792227656751602,0.008439126741997548,-0.026332916071066796,0.006748460757563593,0.24659195972968906,
-15,-0.007586655874082227,0.008986868856412714,-0.025200918832651145,0.01002760708448669,0.39905723145732197,
-14,-0.009601785768339335,0.00947421955853652,-0.02817125610307091,0.008967684566392242,0.31144041451367954,
-13,-0.009710871690118035,0.010789059753520973,-0.03085742880701914,0.011435685426783072,0.36861707796396415,
-12,-0.011041901462478453,0.010805170945461523,-0.032220036515583035,0.010136233590626131,0.3074309939377895,
-11,-0.010234776839053194,0.010248972019623078,-0.03032276199751443,0.009853208319408039,0.3185745818463621,
-10,-0.008827449059690944,0.00892964716928067,-0.026329557511481055,0.008674659392099167,0.32346814079885,
-9,-0.0025253618742286004,0.009376858780062329,-0.020904005083150764,0.015853281334693565,0.7878210502699148,
-8,0.0031536865443661066,0.008441822806887076,-0.01339228615713256,0.019699659245864774,0.7089121778201006,
-7,0.0038318117167743856,0.007759262733704712,-0.011376343241286849,0.01903996667483562,0.6216876319587197,
-6,0.0017267591194704789,0.006043257743544856,-0.01011802605787744,0.013571544296818396,0.7752278714451886,
-5,-0.0020035565967486423,0.004422006176368896,-0.010670688702431678,0.006663575508934394,0.6507270410054193,
-4,-0.003167333545894203,0.004557524540241348,-0.012100081644767243,0.005765414552978838,0.48747193689216384,
-3,-0.002532007610417474,0.003339496919492198,-0.009077421572622183,0.004013406351787234,0.44876987455029127,
-2,0.0001961647617355641,0.002505946040454364,-0.004715489477554989,0.005107819001026117,0.9376440167940507,
-1,0.0,0.0,0.0,0.0,,
0,-0.0012361268431241952,0.0011896767765745197,-0.0035678933252102536,0.0010956396389618633,0.2994010159299374,
1,-0.002926859717986112,0.0010284598926167102,-0.004942641107514864,-0.0009110783284573599,0.004653002774942072,*
2,-0.0060432955273058,0.0015095650700735616,-0.009002043064649981,-0.0030845479899616196,7.422580205118656e-05,*
3,-0.006902026240897723,0.003490748601186675,-0.013743893499223607,-6.0158982571840124e-05,0.0486895707878201,*
4,-0.007147844285923776,0.004055329921666933,-0.015096290932390965,0.000800602360543412,0.07872182785297288,†
5,-0.007691374288130747,0.005073206761707303,-0.01763485954107706,0.0022521109648155685,0.13027603512914854,
6,-0.007677792696174622,0.00561300029737818,-0.018679273279035853,0.00332368788668661,0.17211099014021225,
7,-0.0054668982490492886,0.004553457619898438,-0.014391675184050226,0.00345787868595165,0.23060324470333438,
8,-0.0028436915917489495,0.003690691778783062,-0.010077447478163751,0.0043900642946658516,0.44144819407738556,
9,-0.001864453862470355,0.00414089169826309,-0.00998060159106601,0.006251693866125302,0.6527668965952289,
10,0.00018946074898607893,0.004515144091561567,-0.008660221670474592,0.009039143168446749,0.966550226072953,
11,0.0005796836336877779,0.004697385668259978,-0.008627192276101777,0.009786559543477335,0.9018468509918951,
12,0.0008279721154522792,0.004757202962131348,-0.008496145690325162,0.01015208992122972,0.861915852014941,
13,0.001248856489370732,0.005155870185998211,-0.00885664907518576,0.011354362053927225,0.8087314611416381,
14,0.0007211463337082328,0.004976420413726373,-0.009032637677195457,0.010474930344611924,0.8848515619147537,
