tau,coef,se,ci_low,ci_high,pval,sig
-23,-0.04098283945877069,0.031784377268656704,-0.10328021890533783,0.02131453998779645,0.19799063821414253,
-22,-0.04261906717352923,0.032071367894591175,-0.10547894824692793,0.020240813899869467,0.18463137616602054,
-21,-0.04333222903058512,0.032506462444179964,-0.10704489542117784,0.02038043736000761,0.18326624211761589,
-20,-0.0447079241672022,0.03222374709945223,-0.10786646848212855,0.01845062014772416,0.16607242609255546,
-19,-0.04669348127428111,0.033588348361938844,-0.11252664406368124,0.019139681515119022,0.16523734106465215,
-18,-0.048175047192891673,0.03483004612981212,-0.11644193760732344,0.02009184322154009,0.16737829916306812,
-17,-0.04854129743007498,0.03524549447709013,-0.11762246660517162,0.020539871745021664,0.16919682276177261,
-16,-0.045954148429842634,0.034711210462792456,-0.11398812093691585,0.02207982407723058,0.18627954689788417,
-15,-0.044851488126579984,0.03497471710833987,-0.11340193365892612,0.023698957405766156,0.20043316535642264,
-14,-0.04496874401620119,0.03446320975014252,-0.11251663512648052,0.02257914709407815,0.1926868872529075,
-13,-0.04189331562899757,0.0325020201868579,-0.10559727519523904,0.021810643937243905,0.19814933409296254,
-12,-0.038987860951678256,0.02999359465412338,-0.09777530647376008,0.019799584570403567,0.19438022869003557,
-11,-0.03155046396782836,0.024821730290058887,-0.08020105533634378,0.01710012740068706,0.20442531756439597,
-10,0.0031898327752210793,0.036462295078806876,-0.0682762655792404,0.07465593112968257,0.9303305834326525,
-9,0.0012885315924668103,0.02067490567947249,-0.039234283539299274,0.04181134672423289,0.950335843390731,
-8,0.007986763594127708,0.01785690935545679,-0.0270127787425676,0.04298630593082301,0.654921947133702,
-7,0.014612331529865033,0.017068946989702342,-0.018842804569951556,0.04806746762968162,0.39245895174524703,
-6,0.01026779820604134,0.013997458995475586,-0.017167221425090806,0.03770281783717349,0.46364701137050446,
-5,0.00624000903246093,0.009444725746283352,-0.01227165343025444,0.024751671495176302,0.5091867333762565,
-4,0.0028153799355802606,0.008693491550887684,-0.014223863504159601,0.019854623375320124,0.7462185861505066,
-3,0.001101861536602114,0.007198794442913593,-0.013007775571508527,0.015211498644712756,0.878425274847864,
-2,0.001342512206048105,0.004378594443003932,-0.007239532902239601,0.00992455731433581,0.7592985376482879,
-1,0.0,0.0,0.0,0.0,,
0,-0.002556700031225006,0.0017703184934482407,-0.006026524278383558,0.0009131242159335458,0.1494511074578322,
1,-0.008930971058317022,0.005073553954550981,-0.018875136809236946,0.0010131946926029006,0.07910823327640548,†
2,-0.013488207632951919,0.00758239375212035,-0.028349699387107803,0.0013732841212039677,0.07600487938689882,†
3,-0.016825415038556328,0.01163466874579417,-0.0396293657803129,0.005978535703200245,0.14890622843150236,
4,-0.01844005464039391,0.013068663380412677,-0.04405463486600275,0.007174525585214937,0.15900467529680373,
5,-0.01884779588400288,0.014237727326263922,-0.04675374144348017,0.00905814967547441,0.1863150218992371,
6,-0.0182833952515053,0.016234321988348187,-0.05010266634866775,0.013535875845657148,0.2607366193720857,
7,-0.016834112570056053,0.017141456078765757,-0.05043136648443694,0.01676314134432483,0.32664869871842006,
8,-0.014781706295488403,0.018042936395275103,-0.050145861630227606,0.0205824490392508,0.4131222835919126,
9,-0.013307889017669276,0.01965593636294108,-0.05183352428903379,0.02521774625369524,0.49876410862507803,
10,-0.010090357737307811,0.020546592050969186,-0.05036167815720742,0.030180962682591794,0.6236229537599236,
11,-0.006880264631887622,0.021522810221260184,-0.04906497266555758,0.035304443401782334,0.7493801387761789,
12,-0.006206708368408891,0.022107727620331995,-0.0495378545042596,0.037124437767441815,0.7790460679462792,
13,-0.008170131912502229,0.024193907930948038,-0.05559019145716038,0.03924992763215592,0.7357680723488482,
14,-0.011435624470682451,0.024095111938728788,-0.058662043870590874,0.035790794929225975,0.6353241571588444,
