tau,coef,se,ci_low,ci_high,pval,sig
-7,0.0038318117167739163,0.00783666377909623,-0.011528049290254694,0.019191672723802525,0.6253342359190663,
-6,0.0017267591194704412,0.006103541108469184,-0.010236181453129158,0.013689699692070042,0.7774983899211358,
-5,-0.002003556596748669,0.0044661170555236425,-0.01075714602557501,0.006750032832077671,0.6541316348997095,
-4,-0.0031673335458941862,0.004602987256986318,-0.01218918856958737,0.005854521477798997,0.49207774365069823,
-3,-0.002532007610417443,0.003372809434034081,-0.00914271410112424,0.004078698880289356,0.4535901798558686,
-2,0.00019616476173557528,0.002530943627195021,-0.004764484747566666,0.005156814271037816,0.9382876554268598,
-1,0.0,0.0,0.0,0.0,,
0,-0.0012361268431242205,0.0012015441703397236,-0.0035911534169900785,0.0011188997307416376,0.30465819680961004,
1,-0.002926859717986082,0.0010387190981065173,-0.004962749150274856,-0.0008909702856973083,0.0052549831949455506,*
2,-0.006043295527305837,0.0015246234484939784,-0.009031557486354034,-0.0030550335682576393,9.837058393058484e-05,*
3,-0.006902026240897755,0.0035255698980293146,-0.013812143241035212,8.09075923970115e-06,0.051468704599599624,†
4,-0.007147844285923748,0.00409578309178336,-0.015175579145819133,0.0008798905739716379,0.08228475025382287,†
5,-0.007691374288130723,0.005123813568091089,-0.01773404888158926,0.0023513003053278123,0.13469442219414018,
6,-0.00767779269617465,0.005668991711216386,-0.018789016450158767,0.0034334310578094662,0.1769483887794101,
7,-0.0054668982490492495,0.004598879767855549,-0.014480702594046126,0.0035469060959476273,0.23576038092773643,
8,-0.0028436915917489846,0.0037275075706568795,-0.010149606430236468,0.004462223246738499,0.4463052205493876,
9,-0.001864453862470317,0.004182198373562106,-0.010061562674652046,0.006332654949711411,0.6561541173218557,
10,0.00018946074898610658,0.004560184050224758,-0.008748499989454418,0.00912742148742663,0.9668959249238529,
11,0.0005796836336877264,0.004744243543010815,-0.00871903371061347,0.009878400977988923,0.9028573608709154,
12,0.0008279721154522486,0.004804657532887568,-0.008589156649007385,0.010245100879911881,0.8633313589931491,
13,0.0012488564893706911,0.005207301585604167,-0.008957454618413475,0.011455167597154857,0.8106763108519011,
14,0.0007211463337081889,0.005026061746357238,-0.009129934689151999,0.010572227356568376,0.886035091045859,
