tau,coef,se,ci_low,ci_high,pval,sig
-7,0.010430292293631174,0.01067297471357893,-0.010488738144983528,0.031349322732245874,0.3293766862155336,
-6,0.008579347265362042,0.00829325467077731,-0.007675431889361487,0.024834126420085572,0.30189558901643676,
-5,0.007876895211438008,0.005685947149157985,-0.003267561200911642,0.01902135162378766,0.1671775272849887,
-4,0.005394650172447014,0.00463043322733236,-0.0036809989531244123,0.01447029929801844,0.2451035432001718,
-3,0.0030809595528689645,0.0037399323493712503,-0.004249307851898686,0.010411226957636615,0.41083168258741765,
-2,0.0008683721271972056,0.001491273461908694,-0.0020545238581438346,0.0037912681125382456,0.5608836163389759,
-1,0.0,0.0,0.0,0.0,,
0,-0.0011475720445156953,0.0012967640414421808,-0.0036892295657423697,0.001394085476710979,0.3770268989769918,
1,-0.004342287135471007,0.0035346073956265263,-0.011270117630899,0.0025855433599569844,0.220403063796196,
2,-0.0051312630619885806,0.004964417150102917,-0.014861520676190298,0.004598994552213136,0.30231019034061424,
3,-0.006652271158230044,0.0068130931844401854,-0.020005933799732808,0.006701391483272719,0.32980504424628077,
4,-0.007401066287511865,0.0077616659369045635,-0.022613931523844808,0.007811798948821078,0.3412298011685073,
5,-0.007000004153659234,0.008281351528179309,-0.02323145314889068,0.00923144484157221,0.39876017421595145,
6,-0.006366611055404286,0.009529992448572402,-0.025045396254606195,0.012312174143797622,0.504706404556998,
7,-0.006682354149845733,0.010772118023571699,-0.027795705476046262,0.014430997176354798,0.5355958617966037,
8,-0.006947540560737837,0.0120091479153519,-0.03048547047482756,0.016590389353351886,0.5634293012291653,
9,-0.006475378423349996,0.012878103764107175,-0.03171646180100006,0.018765704954300064,0.6155294214358249,
10,-0.005580917809856082,0.013606090018780131,-0.03224885424666514,0.021087018626952975,0.6820239315821874,
11,-0.00346433648407576,0.014378265690745826,-0.03164573723793758,0.02471706426978606,0.8097955325884323,
12,-0.0034841502932695966,0.015004386279944172,-0.03289274740196017,0.025924446815420978,0.8165643211872005,
13,-0.005258603712922135,0.01685300255171308,-0.03829048871427977,0.027773281288435505,0.7552774843265619,
14,-0.007333895448868225,0.017498386775005106,-0.04163073352787824,0.026962942630141786,0.6754866507866524,
