tau,coef,se,ci_low,ci_high,pval,sig
-7,0.0028976054215723345,0.005926063473825023,-0.008717478987124709,0.01451268983026938,0.6253342359190648,
-6,0.0013057704699905074,0.00461548090405117,-0.007740572101949785,0.0103521130419308,0.7774983899211316,
-5,-0.0015150839566965516,0.003377265364269256,-0.008134524070664294,0.005104356157271191,0.6541316348996977,
-4,-0.002395128866675602,0.0034807662320372975,-0.009217430681468705,0.004427172948117501,0.49207774365068113,
-3,-0.001914697151556559,0.0025505091649480373,-0.006913695114854712,0.003084300811741594,0.45359017985584904,
-2,0.00014833925023982579,0.0019138925703866092,-0.003602890187717928,0.0038995686881975796,0.9382876554268602,
-1,0.0,0.0,0.0,0.0,,
0,-0.0009347556996885791,0.0009086043781833047,-0.0027156202809278563,0.0008461088815506981,0.30465819680958095,
1,-0.0022132832231533685,0.0007854765089287968,-0.00375281718065381,-0.0006737492656529269,0.00525498319494333,*
2,-0.004569923362212673,0.0011529160346980061,-0.0068296387902207645,-0.002310207934204581,9.837058393058484e-05,*
3,-0.005219293152612903,0.002666026205291332,-0.010444704514983912,6.118209758106986e-06,0.0514687045995903,†
4,-0.0054051800783377745,0.0030972198452191534,-0.011475730974967315,0.0006653708182917661,0.08228475025381266,†
5,-0.005816195962622433,0.0038746136479080226,-0.013410438712522156,0.0017780467872772912,0.13469442219412375,
6,-0.005805925600351448,0.004286875851796423,-0.014208202269872437,0.002596351069169541,0.176948388779393,
7,-0.004134053334688987,0.003477660160117733,-0.010950267248519743,0.0026821605791417695,0.23576038092771245,
8,-0.0021503917161328954,0.0028187309147799464,-0.00767510430910159,0.0033743208768358,0.44630522054935673,
9,-0.0014098948537883734,0.003162566842278753,-0.007608525864654729,0.004788736157077983,0.6561541173218477,
10,0.00014326969434173503,0.003448398565476376,-0.006615591493991962,0.006902130882675431,0.9668959249238536,
11,0.0004383551604107706,0.0035875838448193084,-0.006593309175435074,0.007470019496256614,0.9028573608709141,
12,0.0006261102235641745,0.0036332687368612073,-0.006495096500683792,0.00774731694781214,0.8633313589931475,
13,0.0009443818229704,0.003937747055826626,-0.006773602406449787,0.008662366052390588,0.8106763108518971,
14,0.0005453288628855482,0.0038006939906909147,-0.006904031358868645,0.00799468908463974,0.8860350910458572,
