tau,coef,se,ci_low,ci_high,pval,sig
-7,0.011049804685705338,0.013036246711037069,-0.014501238867927318,0.03660084823933799,0.3975260942861487,
-6,0.007764480603051176,0.010690426826138138,-0.013188755976179575,0.028717717182281926,0.46838881046290504,
-5,0.00471867757070823,0.0072133198972910454,-0.009419429427982219,0.01885678456939868,0.5136583594495991,
-4,0.0021289825200469926,0.006639571890758666,-0.010884578385839993,0.015142543425933979,0.7487650911201365,
-3,0.0008332246462691977,0.005498011121393371,-0.009942877151661807,0.011609326444200204,0.8796739890537291,
-2,0.0010152040168732244,0.0033441100637905054,-0.005539251708156166,0.007569659741902615,0.7617213501040672,
-1,0.0,0.0,0.0,0.0,,
0,-0.0019333694918730337,0.0013520639938443676,-0.004583414919807995,0.0007166759360619269,0.15408554693025778,
1,-0.006753575611558043,0.003874878813153912,-0.01434833808533971,0.0008411868622236239,0.08267951312081445,†
2,-0.010199745304146027,0.00579098146314902,-0.021550068971918107,0.0011505783636260505,0.07950798812525783,†
3,-0.012723332313669613,0.008885868136027281,-0.030139633860283087,0.004692969232943859,0.15353512613137688,
4,-0.013944318314544398,0.009981067965897886,-0.03350721152770425,0.0056185748986154575,0.1637310556947953,
5,-0.014252651115164196,0.010873929489710523,-0.03556555291499682,0.00706025068466843,0.19125477798814194,
6,-0.013825852917981107,0.01239880976572169,-0.03812752005879562,0.010475814222833404,0.26596838017360813,
7,-0.01272990936293245,0.013091624841532493,-0.03838949405233614,0.012929675326471235,0.33188336252868633,
8,-0.011177885414985727,0.013780121901031908,-0.03818692434100827,0.01583115351103681,0.4181086981985067,
9,-0.010063388866023948,0.01501203535978697,-0.03948697817120641,0.01936020043915851,0.5033013051830011,
10,-0.007630300611389116,0.015692265211735657,-0.038387140426391006,0.02312653920361277,0.6272537494334451,
11,-0.005202837084071423,0.016437842599690066,-0.037421008579463955,0.027015334411321108,0.7518968630748866,
12,-0.0046934957006611175,0.016884567727167437,-0.03778724844590929,0.028400257044587054,0.781279826034921,
13,-0.006178231153946326,0.01847786819434405,-0.04239485281486066,0.030038390506968007,0.738412466879824,
14,-0.008647587594208242,0.018402413690360445,-0.044716318427314716,0.02742114323889823,0.63885838057483,
