area,area_title,year,post,event_time,total_emp,wage_emp,wage_bill,n_occ_cells,n_wage_cells,bartik_exposure,base_total_emp,n_base_occs,avg_wage,log_emp,log_wage,log_wbill,z_bartik_post,balanced
10180,"Abilene, TX",2019,0,-3,55660.0,55440.0,2205942100.0,218,214,0.3012621051828696,233410.0,301,39789.72041847042,10.927017035079881,10.591363876969307,21.51442051083309,0.0,1
10180,"Abilene, TX",2020,0,-2,55710.0,55450.0,2277681800.0,222,217,0.3012621051828696,233410.0,301,41076.31740306583,10.92791494301486,10.623187015502905,21.546424008281416,0.0,1
10180,"Abilene, TX",2021,0,-1,60190.0,60030.0,2594610900.0,255,253,0.3012621051828696,233410.0,301,43221.904047976015,11.005261504541817,10.674102683879388,21.676702400125276,0.0,1
10180,"Abilene, TX",2022,0,0,61850.0,61810.0,2821278900.0,259,258,0.3012621051828696,233410.0,301,45644.376314512214,11.032467377820634,10.728635687076544,21.760456129729864,0.0,1
10180,"Abilene, TX",2023,1,1,65080.0,65080.0,3180692400.0,271,271,0.3012621051828696,233410.0,301,48873.57713583282,11.083372561332974,10.79699218455357,21.880364745886542,0.3012621051828696,1
10180,"Abilene, TX",2024,1,2,66330.0,66330.0,3421204900.0,276,276,0.3012621051828696,233410.0,301,51578.545153022766,11.102397562519602,10.850861073396269,21.95325863591587,0.3012621051828696,1
10420,"Akron, OH",2019,0,-3,293370.0,290660.0,14094919200.0,405,387,0.3075354814717073,1159060.0,513,48492.80671575036,12.589189889974431,10.78917075078663,23.36908022896679,0.0,1
10420,"Akron, OH",2020,0,-2,281340.0,279290.0,14014036300.0,402,382,0.3075354814717073,1159060.0,513,50177.3651043718,12.547319181311687,10.82331930966118,23.363325257158273,0.0,1
10420,"Akron, OH",2021,0,-1,290910.0,290500.0,15460945800.0,442,439,0.3075354814717073,1159060.0,513,53221.844406196215,12.580769219966701,10.8822242001919,23.461583055466,0.0,1
10420,"Akron, OH",2022,0,0,293440.0,293330.0,16335684500.0,444,442,0.3075354814717073,1159060.0,513,55690.46636893601,12.589428468050237,10.92756425092351,23.516617785008858,0.0,1
10420,"Akron, OH",2023,1,1,301230.0,300670.0,17568691100.0,443,437,0.3075354814717073,1159060.0,513,58431.80596667443,12.615629371541592,10.97561564328022,23.58938424006992,0.3075354814717073,1
10420,"Akron, OH",2024,1,2,301990.0,301660.0,18523608300.0,450,448,0.3075354814717073,1159060.0,513,61405.58343830803,12.618149183225992,11.025256045478184,23.642311879800427,0.3075354814717073,1
10500,"Albany, GA",2019,0,-3,45290.0,43710.0,1697973600.0,173,170,0.31045039333627894,190250.0,257,38846.34179821551,10.72084153655026,10.56736918915416,21.25270137701152,0.0,1
10500,"Albany, GA",2020,0,-2,46040.0,43480.0,1801815900.0,179,174,0.31045039333627894,190250.0,257,41440.10809567617,10.73726586283582,10.632004485416356,21.312060826651503,0.0,1
10500,"Albany, GA",2021,0,-1,49190.0,48390.0,2122479700.0,221,218,0.31045039333627894,190250.0,257,43861.948749741685,10.803445629789385,10.688802452123507,21.47585091191087,0.0,1
10500,"Albany, GA",2022,0,0,49730.0,49030.0,2267544900.0,221,217,0.31045039333627894,190250.0,257,46248.111360391595,10.814363651708785,10.74177590665579,21.54196354130107,0.0,1
10500,"Albany, GA",2023,1,1,51310.0,50820.0,2552956600.0,229,227,0.31045039333627894,190250.0,257,50235.273514364424,10.84564094393601,10.824472718578804,21.660517975452958,0.31045039333627894,1
10500,"Albany, GA",2024,1,2,50060.0,49920.0,2565548300.0,225,223,0.31045039333627894,190250.0,257,51393.195112179485,10.820977564985766,10.84726105186519,21.6654380549085,0.31045039333627894,1
10540,"Albany, OR",2019,0,-3,34960.0,34850.0,1602121300.0,201,199,0.2521906359037188,143050.0,266,45971.916786226684,10.461959829769471,10.73578598439014,21.19459440057881,0.0,1
10540,"Albany, OR",2020,0,-2,33230.0,33080.0,1565898900.0,186,183,0.2521906359037188,143050.0,266,47336.72611850061,10.41120836134864,10.765041723906375,21.171725873044004,0.0,1
10540,"Albany, OR",2021,0,-1,36490.0,36460.0,1775289300.0,213,212,0.2521906359037188,143050.0,266,48691.42347778387,10.504793529430493,10.793258184275867,21.29722923250852,0.0,1
10540,"Albany, OR",2022,0,0,38370.0,38220.0,2002055700.0,220,217,0.2521906359037188,143050.0,266,52382.40973312402,10.555031183240999,10.866326121835968,21.417440339630232,0.0,1
10540,"Albany, OR",2023,1,1,38830.0,38730.0,2192248900.0,229,228,0.2521906359037188,143050.0,266,56603.37980893364,10.566948422725712,10.943823976347225,21.508193748856023,0.2521906359037188,1
10540,"Albany, OR",2024,1,2,36810.0,36770.0,2153673200.0,227,226,0.2521906359037188,143050.0,266,58571.47674734838,10.513524826373066,10.978003112140543,21.49044068643586,0.2521906359037188,1
10580,"Albany-Schenectady-Troy, NY",2019,0,-3,413070.0,411350.0,22732768800.0,452,445,0.33610181712243414,1599760.0,592,55263.811352862525,12.931372349106528,10.919873567377726,23.847073279974804,0.0,1
10580,"Albany-Schenectady-Troy, NY",2020,0,-2,380980.0,379730.0,22131486900.0,455,450,0.33610181712243414,1599760.0,592,58282.16601269323,12.85050215929269,10.973051425244687,23.82026717808801,0.0,1
10580,"Albany-Schenectady-Troy, NY",2021,0,-1,398610.0,396650.0,24372383200.0,538,528,0.33610181712243414,1599760.0,592,61445.56460355477,12.895738774253463,11.02590693343968,23.91671649216983,0.0,1
10580,"Albany-Schenectady-Troy, NY",2022,0,0,407100.0,406630.0,26214875900.0,541,535,0.33610181712243414,1599760.0,592,64468.622334800675,12.91681413449107,11.073933908986856,23.989592869028748,0.0,1
10580,"Albany-Schenectady-Troy, NY",2023,1,1,416880.0,414960.0,27716484200.0,543,533,0.33610181712243414,1599760.0,592,66793.14680933102,12.940553689583096,11.109355761587063,24.045293170612347,0.33610181712243414,1
10580,"Albany-Schenectady-Troy, NY",2024,1,2,421870.0,420280.0,29407995400.0,550,540,0.33610181712243414,1599760.0,592,69972.38840772818,12.952452488686845,11.155855991896942,24.104532426699652,0.33610181712243414,1
10740,"Albuquerque, NM",2019,0,-3,354580.0,354360.0,16425391500.0,416,413,0.3188047346390139,1389810.0,526,46352.2731120894,12.778689269452371,10.744025612123492,23.52209423664946,0.0,1
10740,"Albuquerque, NM",2020,0,-2,335070.0,334810.0,16530432500.0,412,410,0.3188047346390139,1389810.0,526,49372.57698396105,12.722094744202982,10.807150427256706,23.528468912986362,0.0,1
10740,"Albuquerque, NM",2021,0,-1,342170.0,340210.0,17577377200.0,459,454,0.3188047346390139,1389810.0,526,51666.25672378825,12.743062968566772,10.852560172823505,23.589878525809233,0.0,1
10740,"Albuquerque, NM",2022,0,0,357990.0,353890.0,19205568200.0,467,455,0.3188047346390139,1389810.0,526,54269.88103648026,12.788260332031811,10.901724674987245,23.67846608435192,0.0,1
10740,"Albuquerque, NM",2023,1,1,372030.0,370540.0,21686472300.0,476,465,0.3188047346390139,1389810.0,526,58526.66999514223,12.826729775164928,10.977237826683183,23.799954506787188,0.3188047346390139,1
10740,"Albuquerque, NM",2024,1,2,374130.0,370670.0,22526622100.0,459,451,0.3188047346390139,1389810.0,526,60772.71454393396,12.832358609582903,11.014896193276638,23.837963651166515,0.3188047346390139,1
10780,"Alexandria, LA",2019,0,-3,46620.0,46530.0,1799516500.0,189,187,0.2923897318559496,189330.0,263,38674.32839028584,10.749784912589748,10.5629313098163,21.310783854654993,0.0,1
10780,"Alexandria, LA",2020,0,-2,43390.0,43300.0,1723226000.0,173,171,0.2923897318559496,189330.0,263,39797.36720554272,10.677984278792396,10.591556038469976,21.267463952460556,0.0,1
10780,"Alexandria, LA",2021,0,-1,49250.0,49020.0,2092775200.0,219,218,0.2923897318559496,189330.0,263,42692.272541819664,10.804664646600235,10.66177321192193,21.461756869004034,0.0,1
10780,"Alexandria, LA",2022,0,0,50070.0,50070.0,2206492100.0,211,211,0.2923897318559496,189330.0,263,44068.14659476733,10.82117730532399,10.693492501012635,21.514669806336627,0.0,1
10780,"Alexandria, LA",2023,1,1,48780.0,48740.0,2263146200.0,209,208,0.2923897318559496,189330.0,263,46433.036520311856,10.795075671769911,10.745766478839125,21.54002180601832,0.2923897318559496,1
10780,"Alexandria, LA",2024,1,2,49120.0,49080.0,2385639400.0,208,207,0.2923897318559496,189330.0,263,48607.15973920131,10.802021562821023,10.791526118774751,21.5927330175996,0.2923897318559496,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2019,0,-3,335360.0,333730.0,15804696000.0,436,426,0.2855247334327906,1307450.0,538,47357.73229856471,12.72295986067476,10.765485386202137,23.48357294800952,0.0,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2020,0,-2,310210.0,309180.0,15515571800.0,420,412,0.2855247334327906,1307450.0,538,50182.97367229446,12.645004766471246,10.823431078274098,23.465109988824423,0.0,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2021,0,-1,325510.0,325370.0,17280032800.0,474,472,0.2855247334327906,1307450.0,538,53108.86928727295,12.693148462125057,10.880099223174238,23.572817498468666,0.0,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2022,0,0,336370.0,336230.0,18712780800.0,475,472,0.2855247334327906,1307450.0,538,55654.703030663535,12.725967023556041,10.92692186401629,23.652472592591593,0.0,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2023,1,1,343590.0,343250.0,20214218000.0,485,479,0.2855247334327906,1307450.0,538,58890.65695557174,12.747204365059872,10.98343773151524,23.729652055145458,0.2855247334327906,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2024,1,2,350350.0,349460.0,21462762100.0,492,484,0.2855247334327906,1307450.0,538,61416.93498540606,12.76668793379868,11.02544089020008,23.78958527509311,0.2855247334327906,1
11020,"Altoona, PA",2019,0,-3,49300.0,49070.0,1967890800.0,201,198,0.2839488913695172,195890.0,268,40103.745669451804,10.805679360030782,10.599225017148141,21.400228146232088,0.0,1
11020,"Altoona, PA",2020,0,-2,46700.0,46450.0,1965737700.0,207,203,0.2839488913695172,195890.0,268,42319.43379978472,10.75149944365699,10.65300168742058,21.399133431662566,0.0,1
11020,"Altoona, PA",2021,0,-1,49710.0,49710.0,2187450700.0,224,224,0.2839488913695172,195890.0,268,44004.23858378596,10.813961399088718,10.692041239710504,21.50600263879922,0.0,1
11020,"Altoona, PA",2022,0,0,50180.0,50180.0,2332453900.0,228,228,0.2839488913695172,195890.0,268,46481.74372259864,10.823371819920414,10.746814906368545,21.57018672628896,0.0,1
11020,"Altoona, PA",2023,1,1,51090.0,51060.0,2521135900.0,235,234,0.2839488913695172,195890.0,268,49375.94790442617,10.841344062324843,10.80721870008347,21.647975390878944,0.2839488913695172,1
11020,"Altoona, PA",2024,1,2,50970.0,50750.0,2649168800.0,235,232,0.2839488913695172,195890.0,268,52200.370443349755,10.838992503334087,10.862844870461444,21.69751176736548,0.2839488913695172,1
11100,"Amarillo, TX",2019,0,-3,95430.0,94800.0,4064605700.0,278,271,0.2955986334596469,388410.0,382,42875.58755274262,11.4661482734113,10.6660578882284,22.125582576471512,0.0,1
11100,"Amarillo, TX",2020,0,-2,91050.0,90700.0,4044179300.0,246,244,0.2955986334596469,388410.0,382,44588.52590959206,11.419164085155755,10.705231838308352,22.12054447441158,0.0,1
11100,"Amarillo, TX",2021,0,-1,100320.0,100000.0,4612647800.0,323,321,0.2955986334596469,388410.0,382,46126.478,11.516120355866748,10.739142424189884,22.252067889160113,0.0,1
11100,"Amarillo, TX",2022,0,0,101610.0,101580.0,4875199800.0,321,320,0.2955986334596469,388410.0,382,47993.69757826344,11.528897234479928,10.778824980816523,22.30742692517176,0.0,1
11100,"Amarillo, TX",2023,1,1,105980.0,105930.0,5560143700.0,319,318,0.2955986334596469,388410.0,382,52488.848296044554,11.571005676046752,10.868356012608118,22.438889790198658,0.2955986334596469,1
11100,"Amarillo, TX",2024,1,2,107940.0,107850.0,5753353900.0,323,322,0.2955986334596469,388410.0,382,53345.88687992582,11.589330796172634,10.884552156849173,22.473048808666476,0.2955986334596469,1
11180,"Ames, IA",2019,0,-3,31830.0,31620.0,1458151600.0,174,171,0.3114349494216232,135640.0,258,46114.8513598988,10.368164520276139,10.738890332416197,21.10043544317966,0.0,1
11180,"Ames, IA",2020,0,-2,30750.0,30550.0,1435133900.0,170,167,0.3114349494216232,135640.0,258,46976.55973813421,10.333645273234664,10.757404027309667,21.084523991909407,0.0,1
11180,"Ames, IA",2021,0,-1,35700.0,35530.0,1817731000.0,217,215,0.3114349494216232,135640.0,258,51160.455952716016,10.48290596776773,10.842722167942275,21.320854856957347,0.0,1
11180,"Ames, IA",2022,0,0,37360.0,37240.0,1985449600.0,224,222,0.3114349494216232,135640.0,258,53314.9731471536,10.528355892342779,10.883972492788148,21.409111224179153,0.0,1
11180,"Ames, IA",2023,1,1,38560.0,38350.0,2134320100.0,231,227,0.3114349494216232,135640.0,258,55653.71838331161,10.559970748724481,10.926904171781695,21.4814139785771,0.3114349494216232,1
11180,"Ames, IA",2024,1,2,47210.0,47100.0,2749978200.0,253,251,0.3114349494216232,135640.0,258,58385.949044585985,10.762361013540332,10.974830541316233,21.734858821320742,0.3114349494216232,1
11260,"Anchorage, AK",2019,0,-3,152520.0,151720.0,8936720500.0,348,341,0.30895584476757604,596740.0,463,58902.71882414975,11.935051013971501,10.98364252857688,22.913434524379717,0.0,1
11260,"Anchorage, AK",2020,0,-2,142640.0,141650.0,8706054000.0,337,327,0.30895584476757604,596740.0,463,61461.729615248856,11.868079252537022,11.026169977417501,22.887284482676165,0.0,1
11260,"Anchorage, AK",2021,0,-1,147370.0,146700.0,9231366900.0,373,364,0.30895584476757604,596740.0,463,62926.83640081799,11.900701710207308,11.049728003539819,22.94587296767089,0.0,1
11260,"Anchorage, AK",2022,0,0,154210.0,151780.0,9891205700.0,409,397,0.30895584476757604,596740.0,463,65168.04387929899,11.946070588851702,11.084724503213817,23.01491188617172,0.0,1
11260,"Anchorage, AK",2023,1,1,155870.0,153790.0,10472944500.0,410,402,0.30895584476757604,596740.0,463,68098.9953833149,11.956777605483097,11.128717739948247,23.072061054382214,0.30895584476757604,1
11260,"Anchorage, AK",2024,1,2,161960.0,160780.0,11767905200.0,399,391,0.30895584476757604,596740.0,463,73192.59360616992,11.995104670146098,11.200849514586757,23.18864176446871,0.30895584476757604,1
11460,"Ann Arbor, MI",2019,0,-3,190940.0,189490.0,10362218900.0,345,339,0.3416288250886747,755030.0,471,54684.77967175049,12.159714521552024,10.909340698717605,23.061432230381264,0.0,1
11460,"Ann Arbor, MI",2020,0,-2,179740.0,166970.0,9777118900.0,336,328,0.3416288250886747,755030.0,471,58556.14122297418,12.099266641212365,10.977741252047636,23.003310686590638,0.0,1
11460,"Ann Arbor, MI",2021,0,-1,187780.0,186970.0,11405618600.0,418,414,0.3416288250886747,755030.0,471,61002.399315398194,12.143026343812538,11.01866847542124,23.15737193058056,0.0,1
11460,"Ann Arbor, MI",2022,0,0,196570.0,195950.0,12871774100.0,418,411,0.3416288250886747,755030.0,471,65689.07425363614,12.188773880951844,11.092687893134395,23.27830269676217,0.0,1
11460,"Ann Arbor, MI",2023,1,1,199070.0,198690.0,13397047300.0,417,414,0.3416288250886747,755030.0,471,67426.88258090493,12.201411800647978,11.11879906872908,23.318300168876217,0.3416288250886747,1
11460,"Ann Arbor, MI",2024,1,2,204690.0,204270.0,14589232200.0,430,426,0.3416288250886747,755030.0,471,71421.3159054193,12.22925191847758,11.17635164586556,23.403549573010682,0.3416288250886747,1
11540,"Appleton, WI",2019,0,-3,106220.0,105530.0,4946896100.0,290,286,0.28985097140825805,423130.0,389,46876.680564768314,11.57326769397639,10.755275614678434,22.32202616634357,0.0,1
11540,"Appleton, WI",2020,0,-2,100470.0,100110.0,4875168300.0,272,266,0.28985097140825805,423130.0,389,48698.11507341924,11.51761445445636,10.793395603463708,22.307420463877236,0.0,1
11540,"Appleton, WI",2021,0,-1,107180.0,107130.0,5514450000.0,336,335,0.28985097140825805,423130.0,389,51474.37692523103,11.582264943048841,10.848839427407599,22.4306377566642,0.0,1
11540,"Appleton, WI",2022,0,0,109260.0,109220.0,5940532700.0,335,334,0.28985097140825805,423130.0,389,54390.52096685589,11.601485641949708,10.903945170728477,22.505064646434622,0.0,1
11540,"Appleton, WI",2023,1,1,112130.0,112100.0,6377085400.0,326,325,0.28985097140825805,423130.0,389,56887.47011596789,11.627414191454926,10.948830387006682,22.575976996066935,0.28985097140825805,1
11540,"Appleton, WI",2024,1,2,112950.0,112640.0,6611480100.0,332,330,0.28985097140825805,423130.0,389,58695.668501420456,11.63470052189615,10.980121212657773,22.61207338404964,0.28985097140825805,1
11640,"Arecibo, PR",2019,0,-3,21250.0,21100.0,512021900.0,106,104,0.3022743591375569,90630.0,156,24266.44075829384,9.964112174352563,10.096849636062366,20.053877955526524,0.0,1
11640,"Arecibo, PR",2020,0,-2,19660.0,19480.0,486993200.0,101,98,0.3022743591375569,90630.0,156,24999.65092402464,9.886341393701157,10.12661714071384,20.003760717910364,0.0,1
11640,"Arecibo, PR",2021,0,-1,23860.0,23820.0,600432100.0,129,128,0.3022743591375569,90630.0,156,25207.057094878255,10.079958695651907,10.134879277742218,20.21316012065151,0.0,1
11640,"Arecibo, PR",2022,0,0,25860.0,25750.0,697618200.0,132,130,0.3022743591375569,90630.0,156,27091.968932038835,10.160452652325848,10.206992613576379,20.36318251966826,0.0,1
11640,"Arecibo, PR",2023,1,1,27410.0,27370.0,783302600.0,139,138,0.3022743591375569,90630.0,156,28619.020825721593,10.218663189296832,10.261826839587416,20.47902964162214,0.3022743591375569,1
11640,"Arecibo, PR",2024,1,2,28810.0,28770.0,885613000.0,149,148,0.3022743591375569,90630.0,156,30782.516510253736,10.268477828078574,10.334702162018827,20.601790618564422,0.3022743591375569,1
