outcome,label,tau,year,beta,se,ci_lo,ci_hi,pre_post,n_obs
log_wage,Log Mean Annual Wage,-3,2019,0.0583,0.0196,0.0198,0.0968,pre,4271
log_wage,Log Mean Annual Wage,-2,2020,0.0488,0.019,0.0115,0.0861,pre,4271
log_wage,Log Mean Annual Wage,-1,2021,0.0117,0.0175,-0.0226,0.0461,pre,4271
log_wage,Log Mean Annual Wage,0,2022,0.0,0.0,0.0,0.0,base,4271
log_wage,Log Mean Annual Wage,1,2023,-0.0232,0.0092,-0.0412,-0.0053,post,4271
log_wage,Log Mean Annual Wage,2,2024,-0.0495,0.0124,-0.0738,-0.0253,post,4271
log_emp,Log Total Employment,-3,2019,-0.1504,0.0402,-0.2293,-0.0715,pre,4270
log_emp,Log Total Employment,-2,2020,-0.0736,0.0339,-0.1401,-0.0071,pre,4270
log_emp,Log Total Employment,-1,2021,-0.0389,0.0229,-0.0838,0.006,pre,4270
log_emp,Log Total Employment,0,2022,0.0,0.0,0.0,0.0,base,4270
log_emp,Log Total Employment,1,2023,0.0074,0.0171,-0.026,0.0409,post,4270
log_emp,Log Total Employment,2,2024,-0.0048,0.0266,-0.0569,0.0472,post,4270
log_wbill,Log Wage Bill,-3,2019,-0.0921,0.0445,-0.1793,-0.0049,pre,4270
log_wbill,Log Wage Bill,-2,2020,-0.0248,0.0405,-0.1042,0.0546,pre,4270
log_wbill,Log Wage Bill,-1,2021,-0.0272,0.0298,-0.0855,0.0312,pre,4270
log_wbill,Log Wage Bill,0,2022,0.0,0.0,0.0,0.0,base,4270
log_wbill,Log Wage Bill,1,2023,-0.0158,0.0201,-0.0553,0.0237,post,4270
log_wbill,Log Wage Bill,2,2024,-0.0544,0.0304,-0.114,0.0053,post,4270
